basisOfRecord,catalogNumber,collectionCode,country,eventDate,extraction_method,image,institutionCode,locality,ocr_confidence,ocr_engine,recordedBy,scientificName,specimen_id,stateProvince
PreservedSpecimen,,,Canada,,simple,000e426d6ed12c347a937c47f568088a8daa32cdea3127d90f1eca5653831c84.jpg,,,0.963,vision,,Identified by,000e426d6ed12c347a937c47f568088a8daa32cdea3127d90f1eca5653831c84,Saskatchewan
PreservedSpecimen,,REGINA,Canada,,simple,002143863d4b7c143fbf210738ff3f6a01a0f0d421e93e2762e3ee3e4c5c3fdd.jpg,AAFC,,0.892,vision,,Baedten dny,002143863d4b7c143fbf210738ff3f6a01a0f0d421e93e2762e3ee3e4c5c3fdd,Saskatchewan
PreservedSpecimen,1073,REGINA,Canada,1988,simple,002e8642edeadc9390dc630b8bd0a0a656e6b2bf76894943df0032b4b3916ee4.jpg,AAFC,,0.965,vision,,Wheat ileld,002e8642edeadc9390dc630b8bd0a0a656e6b2bf76894943df0032b4b3916ee4,Saskatchewan
PreservedSpecimen,2809,REGINA,Canada,2809,simple,0042a8ea8490719b559ed7ada1b424adfaffd3ef88cc4f99432d63d8c4984ebe.jpg,AAFC,,1.0,vision,No. Checkedby,Hieracium umbellatum,0042a8ea8490719b559ed7ada1b424adfaffd3ef88cc4f99432d63d8c4984ebe,Saskatchewan
PreservedSpecimen,,,Canada,,simple,00597e6a5910b4fbc4fc7a6229cd271b9f84ec42dfe9f69c2ef7a0d5ed19f77b.jpg,,,0.93,vision,,Cirsium pumilum,00597e6a5910b4fbc4fc7a6229cd271b9f84ec42dfe9f69c2ef7a0d5ed19f77b,Saskatchewan
PreservedSpecimen,,,Canada,2809,simple,0077293d997a692e63516db25454f23db85b23a5285ed0b93d3ba262da965ce8.jpg,,,0.945,vision,,Solidago ptarmicordes,0077293d997a692e63516db25454f23db85b23a5285ed0b93d3ba262da965ce8,Saskatchewan
PreservedSpecimen,280628,REGINA,Canada,2806,simple,008ae14790f2f18bc78feb24891544ebe7cb476564c6d8994fc209623f607855.jpg,AAFC,Roadside ditah SASKATCHEWAN intgnel Hytur O,0.926,vision,,Southeast of,008ae14790f2f18bc78feb24891544ebe7cb476564c6d8994fc209623f607855,Saskatchewan
PreservedSpecimen,433,REGINA,Canada,,simple,00bf22140a6038f57a4fc1d98d830c89e97a5cc279994be0cf003bb2623b9922.jpg,AAFC,Marn Lanke Ram MoaFin Habitab,0.914,vision,h. Wismis ...,Habitab collector,00bf22140a6038f57a4fc1d98d830c89e97a5cc279994be0cf003bb2623b9922,Saskatchewan
PreservedSpecimen,,,,,simple,010d13f792a9f65d49b1766e4606585e423773d17700ba2d4238b9f54e118293.jpg,,,1.0,vision,,,010d13f792a9f65d49b1766e4606585e423773d17700ba2d4238b9f54e118293,
PreservedSpecimen,2021,REGINA,Canada,2021,simple,010f0836d1529d4c72ee06af227fd69dfe3c7dcc6ea8f54922a4115d9d8a5193.jpg,AAFC,,0.925,vision,,Checked by,010f0836d1529d4c72ee06af227fd69dfe3c7dcc6ea8f54922a4115d9d8a5193,Saskatchewan
